"alpha_base","gamma_active","gamma_car1","gamma_car2","gamma_car3plus","gamma_pubtransp","gamma_ridehail","delta_active","delta_car1","delta_car2","delta_car3plus","delta_pubtransp","delta_ridehail","logLike"
1.04656383256981,0.221592197237507,28.3907597913017,45.0496552192385,54.5572812210193,6.99638703771649,6.23060063414892,1.11650745929489,1.54718492882139,0.427160017512736,-0.772631270943057,-0.57305594656151,-1.74801626998691,-110797.882171148
0.868442237028099,0.278629215571136,40.7166141165791,64.4445066563593,78.0616683368063,9.09345888492597,6.00211536118392,1.1666166823258,1.49990845825981,0.380246875367815,-0.875129044829432,-0.656959075011008,-1.51867809932264,-109982.38031064
0.686579200408779,0.349898784598375,55.9986053876671,88.4867038230622,106.818886744483,11.6056063795389,6.08909701225836,1.22486899874397,1.50441144691693,0.387437406807519,-0.954345255591921,-0.69094158803731,-1.47674976214375,-109325.823875964
0.443342016090302,0.462037838365214,80.2493406484604,126.625833224873,152.13648546962,15.472917967402,6.31957424069776,1.26538940703165,1.53699235682614,0.427274135845946,-0.997129447598258,-0.681507501922317,-1.55839218487378,-108594.443962387
0.157289827957584,0.615876652512957,114.185359689081,179.960897927351,215.371420063506,20.7463140217325,6.63101786084206,1.26071614044807,1.56534254791924,0.466008649849717,-0.983361003177617,-0.636588703247801,-1.68234826623444,-107941.740333956
-0.160565213978255,0.808788587945524,157.561113764488,248.089074159802,296.112889651411,27.3703747992739,7.32082329420463,1.23723078004471,1.57522864597278,0.483244794122764,-0.926364403274483,-0.58615795754867,-1.79700828492084,-107460.598705927
-0.0432665326892978,0.514636848728183,157.563936593899,248.090099648403,296.113159166851,27.3686296684071,7.32482391139582,1.245702299731,1.55406691557156,0.443760288581142,-0.88845285965187,-0.585777111808232,-1.78312595802733,-107285.5029031
0.331815077640552,0.367881592575278,157.56910283728,248.091985988094,296.113653911865,27.3650592396804,7.33178281616123,1.30712131090782,1.48845154717646,0.41209818726453,-0.852849471779982,-0.602985280608141,-1.76566271470744,-107204.645000201
0.411903371057733,0.342637731846547,157.570493977671,248.092491875303,296.113786622618,27.3638836022187,7.33341564382515,1.27790119505301,1.51423842013004,0.41281359033407,-0.848808851872939,-0.607781153497175,-1.76218962002143,-107177.078770847
0.413988289496515,0.341332520197272,157.570978449834,248.092672550994,296.11383411675,27.3632745910812,7.33379621010564,1.27392354234008,1.51023072174267,0.419693545915114,-0.849308862389,-0.607112095028165,-1.76125327340926,-107176.236067828
0.414873165903915,0.340264196732758,157.582598674044,248.09698986876,296.114971954069,27.3483437396003,7.34254845614555,1.27354715632688,1.50943142403634,0.418398249093477,-0.867907567399606,-0.602741458415113,-1.74455421733493,-107175.875700525
0.413043954151506,0.343280015035609,157.615512877975,248.109219167874,296.118195828673,27.3060331342552,7.36728676771868,1.26620467550911,1.50355410940567,0.411527688822571,-0.863604182142878,-0.611639112514388,-1.71986957179303,-107174.787211981
0.409951424376248,0.343682989853803,157.731056060429,248.152151105343,296.12951285746,27.1574030893326,7.453800123833,1.27342532596039,1.51017149998915,0.422287225566674,-0.869418684908996,-0.637298249711114,-1.71299349441363,-107170.979097223
